"","x"
"Jacob Frey",0.427674363313427
"Mark Globus",0.00804162063130218
"Bob ""Again"" Carney Jr",0.0191250716753143
"Sheila Nezhad",0.211725382151798
"Kate Knuth",0.184481769995665
"Mike Winter",0.00441240227682755
"Clint Conner",0.0298868578940744
"Laverne Turner",0.0319567011174356
"Troy Benjegerdes",0.00126568116023104
"Perry, Jerrell",0.00474805252926451
"AJ Awed",0.047319692880019
"Doug Nelson",0.00511167363607121
"Marcus Harcus",0.00818147490315092
"Christopher W David",0.00337048795155448
"Kevin ""No Body"" Ward",0.00192299623792009
"Nate ""Honey Badger"" Atkins",0.00818147490315092
"UWI",0.000937023621386515
"Paul E. Johnson",0.00164328769422262
"Christopher Robin ""CRZ"" Zimmerman",1.39854271848734e-05
