"","Voters","Prop1","Prop2","Simulation","Frac4Wins","Frac4Wins_Miss","Agreement"
"1",10000,0.34,0.66,1,1,1,1
"2",10000,0.35,0.65,1,1,1,1
"3",10000,0.36,0.64,1,1,1,1
"4",10000,0.37,0.63,1,1,1,1
"5",10000,0.38,0.62,1,1,0.993,0.993
"6",10000,0.39,0.61,1,1,0.768,0.768
"7",10000,0.4,0.6,1,1,0.172,0.172
"8",10000,0.41,0.59,1,1,0.004,0.004
"9",10000,0.42,0.58,1,1,0,0
"10",10000,0.43,0.57,1,1,0,0
"11",10000,0.44,0.56,1,1,0,0
"12",10000,0.45,0.55,1,1,0,0
"13",10000,0.46,0.54,1,1,0,0
"14",10000,0.47,0.53,1,1,0,0
"15",10000,0.48,0.52,1,1,0,0
"16",10000,0.49,0.51,1,0.976,0,0.024
"17",10000,0.5,0.5,1,0.528,0,0.472
"18",10000,0.51,0.49,1,0.027,0,0.973
"19",10000,0.52,0.48,1,0,0,1
"20",10000,0.53,0.47,1,0,0,1
"21",10000,0.54,0.46,1,0,0,1
"22",10000,0.55,0.45,1,0,0,1
"23",10000,0.56,0.44,1,0,0,1
